Freq(Hz),"A,1"(DB),"A,1"(DEG)
4260651629.0727,-11.448312,146.6297
4265288220.5514,-11.428383,130.35349
4269924812.0301,-12.053176,109.52541
4274561403.5088,-12.84168,96.689087
4279197994.9875,-13.302385,79.319588
4283834586.4662,-14.140105,62.151329
4288471177.9449,-15.197086,42.882896
4293107769.4236,-16.376884,30.311922
4297744360.9023,-16.183363,11.573916
4302380952.381,-17.078379,-11.983768
4307017543.8596,-18.067997,-29.148758
4311654135.3383,-18.382267,-51.741619
4316290726.817,-18.028708,-68.935051
4320927318.2957,-18.247604,-86.69957
4325563909.7744,-17.700064,-105.83706
4330200501.2531,-17.144186,-121.10213
4334837092.7318,-16.920885,-135.28462
4339473684.2105,-15.993226,-144.8718
4344110275.6892,-15.012075,-162.26772
4348746867.1679,-14.497559,-176.55113
4353383458.6466,-13.994449,169.10699
4358020050.1253,-13.084023,152.99666
4362656641.604,-12.769525,133.19016
4367293233.0827,-13.271259,113.60826
4371929824.5614,-13.560558,97.010704
4376566416.0401,-14.300792,76.119987
4381203007.5188,-15.278511,57.220161
4385839598.9975,-16.703815,38.894257
4390476190.4762,-18.080124,21.01358
4395112781.9549,-19.366465,-4.3594255
4399749373.4336,-21.635687,-24.270655
4404385964.9123,-23.212877,-49.000271
4409022556.391,-23.449163,-82.260124
4413659147.8697,-24.698673,-116.22714
4418295739.3484,-25.030468,-155.30051
4422932330.8271,-25.878819,-178.59633
4427568922.3058,-25.073839,151.8586
4432205513.7845,-25.393076,121.54151
4436842105.2632,-25.405907,71.177475
4441478696.7419,-26.003761,-2.2942739
4446115288.2206,-26.954296,-70.880333
4450751879.6992,-24.342222,-103.79137
4455388471.1779,-23.35845,-121.50111
4460025062.6566,-20.516392,-142.43404
4464661654.1353,-19.214954,-170.36115
4469298245.614,-19.266756,175.98541
4473934837.0927,-18.61105,162.45151
4478571428.5714,-19.058748,147.96269
4483208020.0501,-18.716776,137.39426
4487844611.5288,-18.551481,131.43532
4492481203.0075,-18.195177,115.98269
4497117794.4862,-19.091848,104.44107
4501754385.9649,-19.657679,99.156517
4506390977.4436,-19.825548,91.356316
4511027568.9223,-19.673372,83.478943
4515664160.401,-20.960558,72.095383
4520300751.8797,-21.815884,85.683502
4524937343.3584,-18.830067,80.708878
4529573934.8371,-17.056784,62.651958
4534210526.3158,-15.979247,44.815449
4538847117.7945,-14.864305,23.632921
4543483709.2732,-14.479221,2.6830068
4548120300.7519,-13.660096,-22.013229
4552756892.2306,-13.685418,-45.241974
4557393483.7093,-13.039024,-68.030403
4562030075.188,-12.710918,-90.924782
4566666666.6667,-12.362803,-112.92642
4571303258.1454,-12.348686,-132.74886
4575939849.6241,-11.878284,-149.98428
4580576441.1028,-11.584401,-168.71387
4585213032.5815,-11.186385,176.03293
4589849624.0602,-10.399636,159.19814
4594486215.5388,-10.162091,141.15691
4599122807.0175,-9.7124224,123.95499
4603759398.4962,-9.553854,104.47915
4608395989.9749,-9.871067,86.765182
4613032581.4536,-10.698242,68.7696
4617669172.9323,-11.65179,54.93478
4622305764.411,-12.131347,42.800179
4626942355.8897,-12.626354,31.125771
4631578947.3684,-12.7484,18.431681
4636215538.8471,-13.442266,6.0906992
4640852130.3258,-13.023908,-3.3847718
4645488721.8045,-12.547077,-19.085173
4650125313.2832,-12.186131,-35.964333
4654761904.7619,-11.838232,-54.745117
4659398496.2406,-11.652024,-74.323021
4664035087.7193,-11.496045,-93.073303
4668671679.198,-11.623446,-112.04079
4673308270.6767,-11.30903,-126.28339
4677944862.1554,-10.897608,-144.68706
4682581453.6341,-10.377717,-160.22269
4687218045.1128,-10.023368,-176.23468
4691854636.5915,-9.3018064,167.53238
4696491228.0702,-8.535141,149.3204
4701127819.5489,-8.3719635,129.32602
4705764411.0276,-8.4234676,111.82936
4710401002.5063,-8.1382294,96.3265
4715037593.985,-8.0035915,75.126648
4719674185.4637,-8.3648977,55.573227
4724310776.9424,-9.1247692,35.153896
4728947368.4211,-10.091903,18.897398
4733583959.8997,-10.850176,3.145467
4738220551.3784,-11.803445,-12.388103
4742857142.8571,-12.315755,-27.992203
4747493734.3358,-12.900404,-42.640366
4752130325.8145,-13.094279,-57.654037
4756766917.2932,-13.308523,-76.90889
4761403508.7719,-13.548069,-91.54982
4766040100.2506,-13.146445,-109.28189
4770676691.7293,-13.286102,-128.39969
4775313283.208,-13.185273,-144.13631
4779949874.6867,-13.328386,-160.54523
4784586466.1654,-13.170634,-173.88141
4789223057.6441,-12.655313,173.24611
4793859649.1228,-12.034367,159.52472
4798496240.6015,-11.584101,145.09787
4803132832.0802,-10.494135,132.91696
4807769423.5589,-9.7039871,113.1329
4812406015.0376,-9.5422897,94.759659
4817042606.5163,-9.5513649,77.036789
4821679197.995,-9.8361359,59.957977
4826315789.4737,-10.170998,41.54332
4830952380.9524,-10.836947,24.640205
4835588972.4311,-12.043818,7.5366349
4840225563.9098,-13.241078,-5.0505757
4844862155.3885,-13.573276,-20.500454
4849498746.8672,-14.897595,-34.863174
4854135338.3459,-15.739195,-50.523178
4858771929.8246,-16.774414,-63.46513
4863408521.3033,-16.848385,-83.892113
4868045112.782,-18.167673,-100.33186
4872681704.2607,-18.861385,-117.80246
4877318295.7393,-19.843275,-134.99576
4881954887.218,-19.633585,-149.4099
4886591478.6967,-19.828062,-163.90773
4891228070.1754,-19.60919,-174.59093
4895864661.6541,-19.514744,170.89616
4900501253.1328,-18.475969,167.59348
4905137844.6115,-16.858652,153.59483
4909774436.0902,-15.257483,136.9752
4914411027.5689,-14.326241,119.85983
4919047619.0476,-13.497973,103.21423
4923684210.5263,-13.166509,86.893936
4928320802.005,-13.098735,70.853012
4932957393.4837,-13.151889,58.420078
4937593984.9624,-12.943786,44.080315
4942230576.4411,-12.793331,30.797276
4946867167.9198,-12.75779,15.049639
4951503759.3985,-13.420483,1.0859009
4956140350.8772,-13.343078,-12.026751
4960776942.3559,-13.977636,-27.003834
4965413533.8346,-14.033834,-40.615482
4970050125.3133,-14.749007,-54.074142
4974686716.792,-15.118192,-67.761894
4979323308.2707,-15.392585,-85.947861
4983959899.7494,-17.261276,-100.43457
4988596491.2281,-18.133926,-102.2957
4993233082.7068,-16.878056,-112.36499
4997869674.1855,-16.148474,-127.51434
5002506265.6642,-15.39894,-90.515526
5007142857.1429,-15.238335,-107.46156
5011779448.6216,-15.016146,-124.22665
5016416040.1003,-14.473222,-139.54588
5021052631.5789,-13.704674,-158.32359
5025689223.0576,-13.337806,179.23055
5030325814.5363,-13.325245,162.63582
5034962406.015,-12.776237,144.09819
5039598997.4937,-12.322865,125.56075
5044235588.9724,-12.033817,106.26817
5048872180.4511,-11.679581,88.339706
5053508771.9298,-11.269583,68.758835
5058145363.4085,-11.111424,48.202232
5062781954.8872,-11.054519,27.710072
5067418546.3659,-10.864678,8.0013857
5072055137.8446,-10.908745,-11.6303
5076691729.3233,-10.860245,-30.519325
5081328320.802,-11.334992,-49.841106
5085964912.2807,-11.518454,-65.062027
5090601503.7594,-11.436187,-80.742493
5095238095.2381,-11.569775,-98.175034
5099874686.7168,-11.747229,-112.98634
