Freq(Hz),"A,1"(DB),"A,1"(DEG),S21(DB),S21(DEG)
4093734335.8396,-14.611078,51.847294,-40.334915,-72.246964
4098370927.3183,-14.746478,40.264961,-40.051598,-112.13683
4103007518.797,-14.77503,28.945557,-39.854435,-151.10022
4107644110.2757,-15.717703,12.868278,-40.456318,178.13208
4112280701.7544,-15.345705,-0.38280845,-38.991024,145.62823
4116917293.2331,-15.82227,-10.565904,-40.934799,95.713562
4121553884.7118,-15.034457,-30.359905,-39.667625,90.264687
4126190476.1905,-15.766406,-50.087212,-38.791855,38.68261
4130827067.6692,-16.297476,-71.038673,-41.853695,24.528006
4135463659.1479,-17.360752,-92.890877,-38.422596,-6.0079536
4140100250.6266,-17.773569,-118.49691,-36.354637,-50.069302
4144736842.1053,-18.771025,-144.7883,-38.733532,-93.688835
4149373433.584,-19.265062,-172.65829,-38.645782,-126.65787
4154010025.0627,-19.618881,162.85039,-39.058029,-167.31277
4158646616.5414,-18.176556,125.77477,-41.005905,163.15242
4163283208.0201,-18.661175,101.31868,-41.728401,157.15747
4167919799.4987,-17.318367,72.539482,-38.259075,105.90408
4172556390.9774,-17.425413,41.996346,-40.127312,66.056953
4177192982.4561,-18.422333,13.734785,-39.811745,32.002758
4181829573.9348,-19.950251,-5.124331,-39.178963,-3.4379315
4186466165.4135,-20.848713,-28.239096,-38.332924,-45.734669
4191102756.8922,-21.894146,-52.183933,-39.751598,-91.595268
4195739348.3709,-23.120245,-70.408173,-40.460697,-128.71761
4200375939.8496,-22.747669,-102.58143,-41.750301,-174.92244
4205012531.3283,-22.911034,-142.55952,-42.737682,152.33977
4209649122.807,-23.372404,178.13882,-45.412426,138.39859
4214285714.2857,-23.439537,157.49261,-42.188366,111.54988
4218922305.7644,-20.959885,135.64035,-38.364712,55.454659
4223558897.2431,-20.94504,118.81641,-38.604198,-3.7903132
4228195488.7218,-19.317326,109.74098,-40.841377,-51.80582
4232832080.2005,-17.106617,97.942032,-42.404083,-101.20877
4237468671.6792,-15.293997,80.087509,-46.304432,-131.56729
4242105263.1579,-13.629171,61.033043,-47.919876,-152.58824
4246741854.6366,-13.446519,42.280285,-43.954529,169.48854
4251378446.1153,-12.72109,30.327263,-51.265888,104.01427
4256015037.594,-12.525024,12.740236,-60.348923,167.07977
4260651629.0727,-11.769529,0.34013528,-45.857971,113.32302
4265288220.5514,-11.207596,-18.420151,-45.379559,71.608177
4269924812.0301,-11.614395,-38.929264,-43.922581,11.090339
4274561403.5088,-11.550577,-54.780178,-44.534195,-37.351742
4279197994.9875,-12.17666,-77.359497,-45.713066,-76.801559
4283834586.4662,-13.524843,-97.1614,-46.261002,-95.058716
4288471177.9449,-14.752004,-111.32022,-43.266285,-148.52727
4293107769.4236,-15.513281,-127.10188,-43.084286,153.03664
4297744360.9023,-15.391371,-143.71193,-47.079624,102.34415
4302380952.381,-15.781224,-169.14182,-47.180038,73.812843
4307017543.8596,-17.558979,167.26114,-48.925922,95.633629
4311654135.3383,-18.32971,154.55066,-43.110703,29.257006
4316290726.817,-17.910936,137.50543,-42.672585,-33.426876
4320927318.2957,-17.464682,123.45627,-48.926826,-39.120365
4325563909.7744,-16.246365,105.64391,-41.080746,-87.93689
4330200501.2531,-14.771825,85.631119,-47.881687,-133.37703
4334837092.7318,-14.415204,67.540932,-44.89233,-134.30521
4339473684.2105,-13.89925,42.995411,-40.464725,-170.49731
4344110275.6892,-14.107906,27.69034,-39.785664,136.05025
4348746867.1679,-14.120318,10.043698,-40.179523,83.734222
4353383458.6466,-14.0764,-0.12045615,-41.376492,25.014534
4358020050.1253,-13.483712,-15.79735,-44.951809,-30.479265
4362656641.604,-13.183231,-35.433601,-56.859627,-82.286736
4367293233.0827,-14.037541,-57.404846,-60.076359,169.71144
4371929824.5614,-15.770039,-71.571678,-48.202126,28.41291
4376566416.0401,-16.594494,-87.494347,-41.915329,-43.455475
4381203007.5188,-18.127563,-99.72831,-43.881493,-97.998856
4385839598.9975,-19.663,-118.11396,-45.01189,-126.23792
4390476190.4762,-22.223118,-132.66945,-41.273064,-175.40285
4395112781.9549,-24.674631,-143.10567,-40.571125,132.35269
4399749373.4336,-28.570997,-152.57628,-43.445896,77.532692
4404385964.9123,-29.73966,-152.778,-43.282383,28.259808
4409022556.391,-30.368767,-149.13583,-48.251778,-28.551842
4413659147.8697,-26.451754,-163.83211,-48.676823,9.2675209
4418295739.3484,-24.565264,152.9845,-45.294247,-39.010708
4422932330.8271,-23.762367,112.88673,-42.532936,-61.738647
4427568922.3058,-24.027405,80.351677,-40.711971,-121.56467
4432205513.7845,-23.793446,37.906414,-41.11002,-171.55827
4436842105.2632,-27.295841,9.6556387,-41.62804,137.46368
4441478696.7419,-32.56855,47.109207,-43.610748,84.319107
4446115288.2206,-26.106119,31.939072,-51.235229,38.860691
4450751879.6992,-26.353735,14.38049,-59.543865,92.748901
4455388471.1779,-27.551512,6.890182,-49.556751,45.132
4460025062.6566,-28.562412,-6.016778,-44.470963,15.478847
4464661654.1353,-28.672302,18.524557,-46.479683,-35.475487
4469298245.614,-27.007376,27.755428,-43.538162,-65.130119
4473934837.0927,-25.271353,25.707792,-44.1078,-112.23669
4478571428.5714,-21.930904,22.71937,-42.786858,-150.45908
4483208020.0501,-19.744781,6.1368399,-42.577332,163.05133
4487844611.5288,-19.029251,-4.6416483,-41.930557,103.91801
4492481203.0075,-18.459875,-19.942404,-42.872265,33.267696
4497117794.4862,-17.786602,-22.585043,-48.164566,-21.178732
4501754385.9649,-16.567196,-38.606663,-51.139072,-67.615532
4506390977.4436,-15.602634,-53.157074,-58.562122,124.427
4511027568.9223,-15.440577,-72.289177,-48.760296,9.04673
4515664160.401,-16.171679,-87.485405,-44.371841,-68.049072
4520300751.8797,-16.530907,-98.827301,-42.438499,-100.49146
4524937343.3584,-16.237074,-113.12806,-40.44857,-160.86967
4529573934.8371,-16.908375,-129.29973,-41.084133,145.80479
4534210526.3158,-16.646048,-141.77835,-42.625008,99.560059
4538847117.7945,-17.023783,-161.2644,-41.856518,77.485115
4543483709.2732,-17.126116,-171.99808,-40.666168,18.652956
4548120300.7519,-16.678705,166.85909,-44.878551,-24.848745
4552756892.2306,-16.099743,148.36183,-45.346279,-51.113392
4557393483.7093,-15.763206,128.85068,-47.604652,-85.523148
4562030075.188,-14.890425,111.31075,-46.185871,-79.18943
4566666666.6667,-14.02124,89.462891,-43.454536,-129.10089
4571303258.1454,-13.741775,71.553238,-43.578907,-177.243
4575939849.6241,-13.066796,52.398621,-42.813683,153.49281
4580576441.1028,-12.588996,33.749813,-40.724106,85.657188
4585213032.5815,-12.470695,18.226444,-45.328865,32.060696
4589849624.0602,-12.072807,6.3279819,-50.68523,-31.498159
4594486215.5388,-10.768963,-8.5577002,-54.350628,-3.2228346
4599122807.0175,-10.336088,-29.965269,-57.232197,-29.288521
4603759398.4962,-10.39778,-47.150883,-43.767845,-21.408171
4608395989.9749,-10.454286,-62.355392,-42.735603,-102.43661
4613032581.4536,-10.824819,-77.089218,-42.264683,-146.59129
4617669172.9323,-10.772837,-89.681587,-42.319344,169.56657
4622305764.411,-10.953062,-105.93069,-41.497543,118.86246
4626942355.8897,-10.78484,-118.92973,-41.453224,44.303707
