Freq(Hz),S21(DB),S21(DEG),"a1,1"(DB),"a1,1"(DEG),"b2,1"(DB),"b2,1"(DEG)
12637500000,-45.17725,152.41356,16.143772,1.9655828,-34.688503,70.387764
12705000000,-51.459988,-83.738907,16.267914,2.9739714,-40.716,178.90732
12772500000,-45.334312,67.540871,16.133905,-0.17933929,-34.877155,-50.738197
12840000000,-47.413742,-171.66383,16.08271,1.3939109,-36.754787,53.408508
12907500000,-47.693523,-9.0899,16.073099,3.5298786,-37.231716,-157.71298
12975000000,-49.090477,98.007416,15.945056,0.56602615,-38.926334,-73.566002
13042500000,-47.856274,-129.49768,15.926942,0.38781685,-37.406689,42.051476
13110000000,-48.063145,17.036915,16.072418,3.5209239,-37.786217,175.77277
13177500000,-47.244354,115.51017,15.95676,1.3553498,-37.200821,-107.58217
13245000000,-58.428112,-68.442543,15.927836,0.10043945,-48.186218,50.070034
13312500000,-53.298847,52.659225,16.099382,3.6358058,-43.067032,157.61198
13380000000,-50.781303,-133.96243,15.928088,1.2636778,-40.654552,-49.463539
13447500000,-54.222015,-3.2819927,15.924642,-0.16552015,-44.118347,63.517414
13515000000,-49.038876,136.08438,16.122822,4.1736631,-38.800323,-171.29417
13582500000,-48.757893,-79.486153,15.769741,2.0372055,-38.688053,-45.877357
13650000000,-47.250187,29.531044,15.681743,-0.79610056,-37.484859,42.942032
13717500000,-47.378456,-171.40579,15.945334,3.6825662,-37.144291,-172.07098
13785000000,-46.999023,-60.016472,15.693393,1.9992718,-37.073402,-78.332794
13852500000,-46.608265,82.662727,15.5947,-0.67046815,-36.84885,43.342854
13920000000,-47.88224,-152.67035,15.768673,3.9378521,-37.888763,155.84964
13987500000,-49.689987,-9.9673223,15.507092,2.8001544,-40.141621,-80.967262
14055000000,-51.308445,136.24577,15.431641,-0.95330298,-41.588745,43.85807
14122500000,-46.705921,-84.84108,15.614006,3.6122208,-37.013157,171.50816
14190000000,-47.218159,55.391514,15.339457,3.9148195,-37.943905,-67.903618
14257500000,-45.805126,169.88742,15.350764,-0.96606857,-36.151981,24.116961
14325000000,-47.426937,-50.355526,15.783555,2.1302078,-37.598579,151.68646
14392500000,-47.495068,63.256378,15.338756,4.3535814,-38.295967,-111.87231
14460000000,-49.658676,-147.37749,15.355016,-1.0759792,-40.20602,14.533596
14527500000,-47.046406,-1.9435192,15.907293,2.6753645,-37.205135,147.52547
14595000000,-47.028145,134.26437,15.513981,5.0626497,-37.664822,-92.54567
14662500000,-45.629501,-101.08124,15.37877,-1.2453213,-36.185913,8.4740915
14730000000,-44.841537,19.579056,15.934672,1.9068793,-34.903378,115.89016
14797500000,-45.08091,140.73483,15.5111,5.1779094,-35.654419,-137.73375
14865000000,-44.905556,-97.192413,15.507024,-0.70190549,-35.254551,-39.832523
14932500000,-50.607914,18.347088,16.154055,1.1880975,-40.553318,61.712666
15000000000,-48.512783,139.15927,15.736525,4.8122506,-39.017845,166.51794
END

