Freq(Hz),S12(DB),S12(DEG)
4640601503.7594,-33.771114,-157.01076
4645112781.9549,-36.247681,-172.91797
4649624060.1504,-36.175545,-170.09421
4654135338.3459,-33.851185,168.06589
4658646616.5414,-33.814541,141.31819
4663157894.7368,-33.914345,123.73018
4667669172.9323,-34.526798,99.31028
4672180451.1278,-35.69249,90.308151
4676691729.3233,-34.7817,80.655502
4681203007.5188,-34.526207,59.430073
4685714285.7143,-35.35413,49.243252
4690225563.9098,-34.600353,33.307892
4694736842.1053,-32.774429,16.61878
4699248120.3008,-32.327995,-5.2227182
4703759398.4962,-33.77599,-23.804846
4708270676.6917,-32.404198,-41.100803
4712781954.8872,-33.805248,-61.463104
4717293233.0827,-34.462456,-80.72422
4721804511.2782,-34.984428,-77.794533
4726315789.4737,-32.666531,-101.17239
4730827067.6692,-32.775616,-120.57385
4735338345.8647,-33.939137,-146.36214
4739849624.0602,-33.676716,-156.0649
4744360902.2556,-34.759163,-177.49495
4748872180.4511,-35.796913,178.12354
4753383458.6466,-34.350304,163.85849
4757894736.8421,-34.346001,148.8839
4762406015.0376,-33.85994,135.2104
4766917293.2331,-33.839714,116.83299
4771428571.4286,-33.02853,98.489334
4775939849.6241,-33.192394,76.992737
4780451127.8195,-34.431076,53.746418
4784962406.015,-35.740448,46.020046
4789473684.2105,-35.188217,39.332821
4793984962.406,-34.258942,14.976651
4798496240.6015,-34.808559,0.61784017
4803007518.797,-34.449398,-19.594255
4807518796.9925,-35.593811,-33.463554
4812030075.188,-35.439766,-47.611588
4816541353.3835,-35.894199,-59.865982
4821052631.5789,-34.200287,-72.034996
4825563909.7744,-34.465981,-88.266022
4830075187.9699,-33.056656,-104.76797
4834586466.1654,-32.127544,-132.61333
4839097744.3609,-32.701359,-155.29141
4843609022.5564,-33.550644,-177.03835
4848120300.7519,-34.604984,166.33577
4852631578.9474,-34.638977,162.5488
4857142857.1429,-33.805428,142.79849
4861654135.3383,-33.304165,121.47421
4866165413.5338,-33.382542,99.654823
4870676691.7293,-33.965439,81.554726
4875187969.9248,-34.475548,66.971779
4879699248.1203,-33.928371,52.648216
4884210526.3158,-33.886864,33.695202
4888721804.5113,-34.169834,19.644583
4893233082.7068,-33.414169,5.2081041
4897744360.9023,-32.654945,-10.296501
4902255639.0977,-32.347832,-36.75465
4906766917.2932,-33.243843,-50.091385
4911278195.4887,-32.013863,-70.334709
4915789473.6842,-32.736664,-87.771454
4920300751.8797,-32.651951,-106.03117
4924812030.0752,-32.185352,-118.04885
4929323308.2707,-31.077045,-133.20586
4933834586.4662,-31.117727,-164.9117
4938345864.6617,-31.866467,-172.52686
4942857142.8571,-31.06699,162.31955
4947368421.0526,-32.095264,143.1725
4951879699.2481,-31.915918,131.61244
4956390977.4436,-32.365139,107.50345
4960902255.6391,-33.376518,99.759651
4965413533.8346,-31.728575,84.885155
4969924812.0301,-32.499172,62.259621
4974436090.2256,-32.847015,46.782776
4978947368.4211,-33.213215,30.469311
4983458646.6165,-33.922195,13.964704
4987969924.812,-33.776867,6.3230171
4992481203.0075,-34.218273,-15.053708
4996992481.203,-35.149719,-16.799971
5001503759.3985,-33.675388,-24.703146
5006015037.594,-32.474682,-49.753422
5010526315.7895,-33.161022,-70.071526
5015037593.985,-34.278206,-87.522644
5019548872.1805,-34.429256,-95.309792
5024060150.3759,-33.477699,-111.04233
5028571428.5714,-34.320545,-126.13461
5033082706.7669,-33.606541,-142.73558
5037593984.9624,-33.749714,-159.68074
5042105263.1579,-33.893311,-178.70525
5046616541.3534,-33.111294,167.70897
5051127819.5489,-33.506001,140.11487
5055639097.7444,-36.117329,118.87325
5060150375.9398,-37.795193,117.44479
5064661654.1353,-36.81987,118.74786
5069172932.3308,-34.349388,99.694878
5073684210.5263,-33.672707,75.823318
5078195488.7218,-33.58287,52.428112
5082706766.9173,-34.213852,29.450321
5087218045.1128,-35.659,11.51386
5091729323.3083,-36.475464,6.7060494
5096240601.5038,-34.025719,-9.5885277
5100751879.6992,-34.164303,-30.976067
5105263157.8947,-33.686981,-49.111904
5109774436.0902,-34.04517,-76.300613
5114285714.2857,-34.728535,-89.560226
5118796992.4812,-34.472347,-98.573677
