Freq(Hz),S21(DB),S21(DEG)
6501960784.3137,-55.491074,-124.30619
6505882352.9412,-55.634594,-153.19472
6509803921.5686,-57.147396,164.63799
6513725490.1961,-59.394924,158.08698
6517647058.8235,-58.724129,141.79956
6521568627.451,-58.822235,129.73485
6525490196.0784,-55.627186,114.40555
6529411764.7059,-53.068821,79.380096
6533333333.3333,-51.008743,36.470222
6537254901.9608,-51.850742,-12.410001
6541176470.5882,-53.603474,-47.031521
6545098039.2157,-54.217503,-82.108772
6549019607.8431,-56.220478,-117.02838
6552941176.4706,-56.97776,-160.23947
6556862745.098,-62.389053,170.077
6560784313.7255,-59.953484,135.87572
6564705882.3529,-63.402222,71.780472
6568627450.9804,-67.513092,2.575129
6572549019.6078,-69.97718,-41.901306
6576470588.2353,-75.059647,-61.563213
6580392156.8627,-65.866547,-64.302666
6584313725.4902,-60.474197,-93.121452
6588235294.1176,-55.487724,-137.54807
6592156862.7451,-52.783852,-177.94778
6596078431.3725,-51.054428,136.20531
6600000000,-50.457672,104.25264
6603921568.6275,-48.954853,68.933647
6607843137.2549,-47.155422,35.70261
6611764705.8824,-46.491005,-6.7972403
6615686274.5098,-46.718018,-44.37009
6619607843.1373,-46.696499,-80.185326
6623529411.7647,-47.691917,-117.31123
6627450980.3922,-48.918995,-145.28154
6631372549.0196,-49.937664,-176.89534
6635294117.6471,-50.41674,157.4064
6639215686.2745,-50.60416,120.38354
6643137254.902,-53.877926,85.377686
6647058823.5294,-55.429417,76.406311
6650980392.1569,-56.157166,40.478451
6654901960.7843,-58.801041,29.066891
6658823529.4118,-61.2202,15.25295
6662745098.0392,-58.406303,2.7206197
6666666666.6667,-60.934959,-34.546955
6670588235.2941,-62.92807,-22.133581
6674509803.9216,-60.129757,-35.385063
6678431372.549,-56.112301,-50.884686
6682352941.1765,-53.581692,-91.437836
6686274509.8039,-52.572422,-134.9357
6690196078.4314,-53.03875,-174.20976
6694117647.0588,-53.326782,152.26384
6698039215.6863,-53.321182,113.64396
6701960784.3137,-53.351639,76.018623
6705882352.9412,-53.868996,34.061886
6709803921.5686,-54.555096,-12.116058
6713725490.1961,-56.530533,-58.278828
6717647058.8235,-60.331062,-100.87997
6721568627.451,-63.018917,-140.28188
6725490196.0784,-73.205688,-147.06152
6729411764.7059,-63.952518,-130.7327
6733333333.3333,-60.232571,170.77328
6737254901.9608,-62.115868,110.21322
6741176470.5882,-64.97876,96.860672
6745098039.2157,-60.041779,64.691444
6749019607.8431,-58.68148,4.2534056
6752941176.4706,-60.602146,-42.266476
6756862745.098,-60.317204,-76.595398
6760784313.7255,-59.061226,-116.00176
6764705882.3529,-58.721687,-163.66266
6768627450.9804,-60.048512,147.02682
6772549019.6078,-61.844273,116.9762
6776470588.2353,-63.113228,81.063492
6780392156.8627,-68.808411,62.086018
6784313725.4902,-68.499908,62.038433
6788235294.1176,-63.348316,71.790741
6792156862.7451,-60.013863,37.773067
6796078431.3725,-56.146122,1.8548694
6800000000,-55.081394,-51.242161
6803921568.6275,-56.648746,-88.066582
6807843137.2549,-59.106716,-116.94843
6811764705.8824,-58.560852,-122.5472
6815686274.5098,-56.120174,-143.18437
6819607843.1373,-54.853409,167.4682
6823529411.7647,-57.854717,146.72223
6827450980.3922,-55.050045,128.28983
6831372549.0196,-54.336765,87.224541
6835294117.6471,-54.320652,50.38472
6839215686.2745,-55.572475,6.6096635
6843137254.902,-60.746674,-28.819838
6847058823.5294,-63.233784,-12.812337
6850980392.1569,-60.705017,-42.407921
6854901960.7843,-60.073784,-63.65834
6858823529.4118,-60.258907,-107.19607
6862745098.0392,-65.141029,-131.72432
6866666666.6667,-66.541664,-151.82321
6870588235.2941,-66.161812,-142.85211
6874509803.9216,-66.20208,176.62642
6878431372.549,-69.898766,151.99362
6882352941.1765,-78.202393,-160.06123
6886274509.8039,-67.488724,-164.28072
6890196078.4314,-63.76228,152.03346
6894117647.0588,-62.364601,123.11495
6898039215.6863,-61.042152,79.136772
6901960784.3137,-63.725159,37.737637
6905882352.9412,-66.36721,8.8543758
6909803921.5686,-73.585129,64.346313
6913725490.1961,-66.827408,24.913282
6917647058.8235,-63.660767,21.64212
6921568627.451,-58.762955,-10.045831
6925490196.0784,-56.455875,-58.773972
